hw,h,k,l,C1,A1,C2,A2,C3,A3,mu,nu
1,-1,2,0,34.0335,68.0671,47.9551,121.9806,37.968,75.9361,0,0
1,-0.8,1.9,0,34.0335,68.0671,-45.4047,107.4285,37.968,75.9361,0,0
1,-0.6,1.8,0,34.0335,68.0671,-46.3878,95.7438,37.968,75.9361,0,0
1,-0.4,1.7,0,34.0335,68.0671,-45.5835,86.0623,37.968,75.9361,0,0
1,-0.2,1.6,0,34.0335,68.0671,-43.0268,78.0685,37.968,75.9361,0,0
1,0,1.5,0,34.0335,68.0671,-38.6833,71.6917,37.968,75.9361,0,0
1,0.2,1.4,0,34.0335,68.0671,-32.5604,66.9935,37.968,75.9361,0,0
1,0.4,1.3,0,34.0335,68.0671,-24.8037,64.0964,37.968,75.9361,0,0
1,0.6,1.2,0,34.0335,68.0671,-15.749,63.1151,37.968,75.9361,0,0
1,0.8,1.1,0,34.0335,68.0671,-5.8791,64.0964,37.968,75.9361,0,0
1,1,1,0,34.0335,68.0671,4.3095,66.9935,37.968,75.9361,0,0
